TCP Variant,CBR Flow,Throughput,Drop Rate,Latency
Newreno,10,0.377326696,0.337837838,0.17434
Newreno,1,8.868488395,0,0.092361096
Newreno,2,6.097553899,0.000976971,0.079747988
Newreno,3,4.597922643,0.003510068,0.079507817
Newreno,4,4.641218754,0.004024145,0.0802166
Newreno,5,4.015441822,0.007179054,0.082558859
Newreno,6,3.244045982,0.011440458,0.084053061
Newreno,7,2.408821992,0.008768853,0.081385773
Newreno,8,1.828412733,0.015158475,0.083145637
Newreno,9,1.11696071,0.029739777,0.088592416
Reno,10,0.269159908,0.328767123,0.29896097
Reno,1,8.868488395,0,0.092361096
Reno,2,5.960424326,0.000999714,0.079803686
Reno,3,5.063243314,0.003370408,0.081279707
Reno,4,3.992535119,0.00469985,0.080760327
Reno,5,3.132793949,0.009721847,0.085321983
Reno,6,2.553134415,0.014555078,0.086491454
Reno,7,1.974018176,0.009841677,0.082056796
Reno,8,1.304217597,0.018613607,0.087842727
Reno,9,0.72998984,0.03280543,0.095535982
Tahoe,10,0.524888973,0.384615385,0.140349161
Tahoe,1,8.868488395,0,0.092361096
Tahoe,2,6.369739998,0.001070234,0.081955917
Tahoe,3,5.500768849,0.003092146,0.080581758
Tahoe,4,3.814991124,0.004693786,0.080802507
Tahoe,5,3.68868606,0.008765859,0.082920995
Tahoe,6,2.621078877,0.013513514,0.088099304
Tahoe,7,2.117317961,0.00798722,0.081973327
Tahoe,8,1.571408196,0.017618793,0.082729391
Tahoe,9,1.00378347,0.030327869,0.08799186
Vegas,10,0.222461001,0.484848485,0.111525
Vegas,1,6.937988474,0,0.075293879
Vegas,2,6.43929723,0,0.075647218
Vegas,3,5.883194824,0,0.076901369
Vegas,4,5.244291006,0,0.076830069
Vegas,5,4.515908582,0,0.077819093
Vegas,6,3.704921034,0,0.07902402
Vegas,7,2.88241317,0,0.07939176
Vegas,8,1.988732179,0.000413736,0.082851832
Vegas,9,0.940663095,0.006950478,0.08354348
